Geographical Location,Report Date,MDS Item Question/Description,MDS Item Response,Percent,Total Residents
Georgia,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.5,55
Hawaii,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,1.04,14
Hawaii,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,98.96,1329
Idaho,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.65,1973
Idaho,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
Illinois,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.25,57
Illinois,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.75,23014
Indiana,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.34,12867
Indiana,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.66,85
Iowa,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.35,7157
Iowa,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.65,47
Kansas,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.74,5352
Kansas,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.26,14
Kentucky,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.71,54
Kentucky,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.29,7591
Louisiana,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.34,25
Louisiana,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.66,7307
Maine,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.36,2033
Maine,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.64,13
Maryland,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.28,26
Maryland,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.72,9140
Massachusetts,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.27,34
Massachusetts,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.73,12750
Michigan,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.44,65
Michigan,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.56,14665
Minnesota,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.73,7129
Minnesota,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.27,19
Mississippi,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.45,20
Mississippi,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.55,4471
Missouri,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.64,83
Missouri,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.36,12866
Montana,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
Montana,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.31,1297
Nebraska,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.3,11
Nebraska,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.7,3661
Nevada,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
Nevada,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.93,2971
New Hampshire,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
New Hampshire,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.71,2094
New Jersey,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.49,17081
New Jersey,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.51,87
New Mexico,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.61,2275
New Mexico,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
New York,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.32,119
New York,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.68,37173
North Carolina,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.4,55
North Carolina,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.6,13531
North Dakota,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
North Dakota,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.38,1432
Ohio,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.54,145
Ohio,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.46,26559
Oklahoma,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.7,46
Oklahoma,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.3,6544
Oregon,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.56,3432
Oregon,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.44,15
Pennsylvania,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.41,100
Pennsylvania,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.59,24250
Puerto Rico,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,100,36
Puerto Rico,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
Rhode Island,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.54,13
Rhode Island,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.46,2378
South Carolina,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.57,6311
South Carolina,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.43,27
South Dakota,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,1.9,32
South Dakota,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,98.1,1649
Tennessee,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.47,48
Tennessee,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.53,10271
Texas,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.55,185
Texas,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.45,33659
Utah,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.74,2712
Utah,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
Vermont,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
Vermont,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.47,946
Virgin Islands,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,*,*
Virgin Islands,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
Virginia,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.55,11022
Virginia,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.45,50
Washington,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.6,6941
Washington,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.4,28
West Virginia,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.41,12
West Virginia,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.59,2918
Wisconsin,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.38,28
Wisconsin,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.62,7416
Wyoming,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.31,715
Wyoming,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,*,*
National Total,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,Yes,0.43,2104
National Total,"Q1, 2025",A1550E: Identification Information - Conditions Related to ID/DD Status - ID/DD Without Organic Condition,No,99.57,482026
Alabama,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,94.94,6778
Alabama,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,5.06,361
Alaska,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.89,278
Alaska,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,*,*
Arizona,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.92,6249
Arizona,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.08,68
Arkansas,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,3.62,217
Arkansas,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,96.38,5777
California,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.86,828
California,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.14,43606
Colorado,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.83,5673
Colorado,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.17,126
Connecticut,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.54,114
Connecticut,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.46,7272
Delaware,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,95.81,1463
Delaware,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,4.19,64
District of Columbia,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.08,13
District of Columbia,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.92,611
Florida,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.67,32642
Florida,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.33,440
Georgia,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.83,201
Georgia,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.17,10808
Hawaii,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.1,1304
Hawaii,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.9,39
Idaho,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.17,43
Idaho,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.83,1936
Illinois,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.84,22804
Illinois,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.16,267
Indiana,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,3.16,409
Indiana,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,96.84,12543
Iowa,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.92,210
Iowa,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.08,6994
Kansas,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.68,90
Kansas,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.32,5276
Kentucky,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.28,7438
Kentucky,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.72,208
Louisiana,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.28,7205
Louisiana,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.72,126
Maine,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.66,34
Maine,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.34,2012
Maryland,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.95,9070
Maryland,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.05,96
Massachusetts,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.13,12545
Massachusetts,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.87,239
Michigan,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.86,14415
Michigan,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.14,315
Minnesota,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.32,94
Minnesota,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.68,7054
Mississippi,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.51,4423
Mississippi,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.49,67
Missouri,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.31,12600
Missouri,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.69,348
Montana,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.47,1273
Montana,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.53,33
Nebraska,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.34,3611
Nebraska,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.66,61
Nevada,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.05,2915
Nevada,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.95,58
New Hampshire,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.38,2066
New Hampshire,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.62,34
New Jersey,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.36,405
New Jersey,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.64,16763
New Mexico,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.58,36
New Mexico,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.42,2248
New York,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.69,36429
New York,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.31,863
North Carolina,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.26,13349
North Carolina,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.74,237
North Dakota,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.06,1413
North Dakota,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.94,28
Ohio,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.53,26043
Ohio,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.47,659
Oklahoma,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.3,6412
Oklahoma,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.7,178
Oregon,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.86,64
Oregon,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.14,3383
Pennsylvania,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.81,24058
Pennsylvania,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.19,289
Puerto Rico,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,*,*
Puerto Rico,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,100,36
Rhode Island,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.29,2350
Rhode Island,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.71,41
South Carolina,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.51,96
South Carolina,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.49,6242
South Dakota,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,96.61,1624
South Dakota,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,3.39,57
Tennessee,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.38,10152
Tennessee,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.62,167
Texas,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.73,33076
Texas,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.27,768
Utah,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.32,63
Utah,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.68,2656
Vermont,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.11,933
Vermont,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.89,18
Virgin Islands,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,*,*
Virgin Islands,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,*,*
Virginia,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.63,181
Virginia,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.37,10891
Washington,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,1.91,133
Washington,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,98.09,6838
West Virginia,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.78,2865
West Virginia,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.22,65
Wisconsin,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.94,7291
Wisconsin,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.06,153
Wyoming,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.09,15
Wyoming,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.91,704
National Total,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,Yes,97.99,474397
National Total,"Q1, 2025",A1550Z: Identification Information - Conditions Related to ID/DD Status - None of the Above,No,2.01,9725
Alabama,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,59.16,13415
Alabama,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,40.84,9259
Alaska,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,63.85,507
Alaska,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,36.15,287
Arizona,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,71.96,9420
Arizona,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,28.04,3670
Arkansas,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,57.13,9817
Arkansas,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,42.87,7366
California,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,57.5,61493
California,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,42.5,45444
Colorado,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,66.77,10471
Colorado,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,33.23,5212
Connecticut,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,59.89,12389
Connecticut,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,40.11,8298
Delaware,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,59.29,2397
Delaware,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,40.71,1646
District of Columbia,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,57.14,1225
District of Columbia,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,42.86,919
Florida,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,60.71,48536
Florida,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,39.29,31415
Georgia,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,54.93,17982
Georgia,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,45.07,14754
Hawaii,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,72.35,2569
Hawaii,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,27.65,982
Idaho,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,69.06,3192
Idaho,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,30.94,1430
Illinois,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,54.16,34903
Illinois,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,45.84,29540
Indiana,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,58.57,21615
Indiana,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,41.43,15291
Iowa,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,63.23,12997
Iowa,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,36.77,7557
Kansas,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,58.06,9044
Kansas,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,41.94,6534
Kentucky,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,52.36,11622
Kentucky,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,47.64,10574
Louisiana,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,46.99,11476
Louisiana,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,53.01,12946
Maine,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,69.78,3607
Maine,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,30.22,1562
Maryland,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,62.15,14938
Maryland,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,37.85,9099
Massachusetts,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,59.09,20467
Massachusetts,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,40.91,14168
Michigan,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,60.56,22937
Michigan,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,39.44,14937
Minnesota,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,63.41,13265
Minnesota,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,36.59,7656
Mississippi,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,48.27,7357
Mississippi,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,51.73,7885
Missouri,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,56.11,20268
Missouri,"Q1, 2025",A1700: Identification Information - Type of Entry,Reentry,43.89,15854
Montana,"Q1, 2025",A1700: Identification Information - Type of Entry,Admission,67.33,2269
